start_station_id,station_name,delta,tau,downtime_fraction,num_starts,quantile_difference,starts_norm,downtime_norm,quantile_norm,norm_score
M32037,Ames St at Main St,30min,0,0.743469524,848,230,0.505389222,0.529776675,0.756989247,0.202678891
A32004,Longwood Ave at Binney St,30min,0,0.687206966,824,258.5,0.491017964,0.425558313,0.726344086,0.151774519
D32046,Boylston St at Exeter St,30min,0,0.73074347,625,289,0.371856287,0.506203474,0.693548387,0.130550042
M32005,MIT Stata Center at Vassar St / Main St,30min,0,0.727394508,599,252.5,0.356287425,0.5,0.732795699,0.130542946
D32005,Copley Square - Dartmouth St at Boylston St,30min,0,0.758874749,549,300,0.326347305,0.558312655,0.68172043,0.124212074
C32034,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,30min,0,0.744809109,549,272,0.326347305,0.532258065,0.711827957,0.123645217
B32007,Seaport Square - Seaport Blvd at Northern Ave,30min,0,0.762223711,539,321.5,0.320359281,0.564516129,0.658602151,0.11910687
M32061,Mass Ave at Albany St,30min,0,0.701942398,715,360.5,0.425748503,0.452853598,0.616666667,0.118894407
D32024,Beacon St at Charles St,30min,0,0.706630944,670,337.25,0.398802395,0.461538462,0.641666667,0.118106863
M32017,Harvard Square at Brattle St / Eliot St,30min,0,0.709310114,639,334.5,0.380239521,0.466501241,0.644623656,0.114344768
M32037,Ames St at Main St,1h,0,0.630522088,848,230,0.505389222,0.489681051,0.756989247,0.187339339
A32004,Longwood Ave at Binney St,1h,0,0.532797858,824,258.5,0.491017964,0.35272045,0.726344086,0.125797041
M32005,MIT Stata Center at Vassar St / Main St,1h,0,0.599732262,599,252.5,0.356287425,0.446529081,0.732795699,0.116582444
D32046,Boylston St at Exeter St,1h,0,0.590361446,625,289,0.371856287,0.433395872,0.693548387,0.111772938
C32034,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,1h,0,0.62248996,549,272,0.326347305,0.478424015,0.711827957,0.111139399
D32005,Copley Square - Dartmouth St at Boylston St,1h,0,0.627844712,549,300,0.326347305,0.485928705,0.68172043,0.108108264
B32007,Seaport Square - Seaport Blvd at Northern Ave,1h,0,0.637215529,539,321.5,0.320359281,0.499061914,0.658602151,0.10529673
M32061,Mass Ave at Albany St,1h,0,0.562248996,715,360.5,0.425748503,0.393996248,0.616666667,0.103441709
B32068,Park Street T Stop - Tremont St at Park St,1h,0,0.665327979,449,295,0.266467066,0.538461538,0.687096774,0.098586202
D32013,Boylston St at Berkeley St,1h,0,0.586345382,626,365.5,0.37245509,0.427767355,0.611290323,0.097393298
M32037,Ames St at Main St,2h,0,0.50802139,848,230,0.505389222,0.423076923,0.756989247,0.161858318
C32034,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,2h,0,0.497326203,549,272,0.326347305,0.41025641,0.711827957,0.095303851
D32005,Copley Square - Dartmouth St at Boylston St,2h,0,0.502673797,549,300,0.326347305,0.416666667,0.68172043,0.092699011
A32004,Longwood Ave at Binney St,2h,0,0.371657754,824,258.5,0.491017964,0.259615385,0.726344086,0.092591306
M32005,MIT Stata Center at Vassar St / Main St,2h,0,0.443850267,599,252.5,0.356287425,0.346153846,0.732795699,0.090375886
D32046,Boylston St at Exeter St,2h,0,0.443850267,625,289,0.371856287,0.346153846,0.693548387,0.089273191
M32061,Mass Ave at Albany St,2h,0,0.42513369,715,360.5,0.425748503,0.323717949,0.616666667,0.0849905
B32007,Seaport Square - Seaport Blvd at Northern Ave,2h,0,0.489304813,539,321.5,0.320359281,0.400641026,0.658602151,0.084530974
D32013,Boylston St at Berkeley St,2h,0,0.457219251,626,365.5,0.37245509,0.362179487,0.611290323,0.082460371
