start_station_id,station_name,delta,tau,downtime_fraction,num_starts,quantile_difference,starts_norm,downtime_norm,quantile_norm,norm_score
B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,30min,2,1,1013,299.5,0.604191617,1,0.647647059,0.391302924
C32036,Seaport Blvd at Sleeper St,30min,2,1,810,252,0.482634731,1,0.703529412,0.339547728
D32000,Cambridge St at Joy St,30min,2,1,865,292.75,0.515568862,1,0.655588235,0.338000881
B32000,Newbury St at Hereford St,30min,2,1,755,269.25,0.449700599,1,0.683235294,0.307251321
D32019,Chinatown T Stop,30min,2,1,829,338.25,0.494011976,1,0.602058824,0.297424269
B32015,Landmark Center - Brookline Ave at Park Dr,30min,2,0.998660415,925,279,0.551497006,0.777777778,0.671764706,0.288148174
M32006,MIT at Mass Ave / Amherst St,30min,2,0.997320831,1388,329.5,0.828742515,0.555555556,0.612352941,0.281934954
K32001,Coolidge Corner - Beacon St at Centre St,30min,2,1,665,255,0.395808383,1,0.7,0.277065868
M32011,Central Square at Mass Ave / Essex St,1h,2,0.995983936,1199,218.25,0.715568862,0.785714286,0.743235294,0.417871169
B32062,Forsyth St at Huntington Ave,1h,2,0.997322624,1037,287,0.618562874,0.857142857,0.662352941,0.351177376
A32002,Commonwealth Ave at Agganis Way,1h,2,0.994645248,1558,409,0.930538922,0.714285714,0.518823529,0.344846777
B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,1h,2,0.997322624,1013,299.5,0.604191617,0.857142857,0.647647059,0.335402506
B32015,Landmark Center - Brookline Ave at Park Dr,1h,2,0.997322624,925,279,0.551497006,0.857142857,0.671764706,0.317551049
C32036,Seaport Blvd at Sleeper St,1h,2,0.997322624,810,252,0.482634731,0.857142857,0.703529412,0.29104091
B32000,Newbury St at Hereford St,1h,2,0.998661312,755,269.25,0.449700599,0.928571429,0.683235294,0.285304798
M32005,MIT Stata Center at Vassar St / Main St,1h,2,1,599,212.5,0.356287425,1,0.75,0.267215569
D32000,Cambridge St at Joy St,1h,2,0.995983936,865,292.75,0.515568862,0.785714286,0.655588235,0.26557212
M32042,MIT Vassar St,1h,2,0.997322624,838,335.75,0.499401198,0.857142857,0.605,0.258975192
A32002,Commonwealth Ave at Agganis Way,2h,2,0.983957219,1558,409,0.930538922,0.76,0.518823529,0.366916971
M32011,Central Square at Mass Ave / Essex St,2h,2,0.978609626,1199,218.25,0.715568862,0.68,0.743235294,0.361648503
B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,2h,2,0.99197861,1013,299.5,0.604191617,0.88,0.647647059,0.344346573
B32062,Forsyth St at Huntington Ave,2h,2,0.989304813,1037,287,0.618562874,0.84,0.662352941,0.344153829
M32006,MIT at Mass Ave / Amherst St,2h,2,0.975935829,1388,329.5,0.828742515,0.64,0.612352941,0.324789067
B32015,Landmark Center - Brookline Ave at Park Dr,2h,2,0.986631016,925,279,0.551497006,0.8,0.671764706,0.296380979
M32037,Ames St at Main St,2h,2,0.986631016,848,243.5,0.505389222,0.8,0.713529412,0.288488059
M32005,MIT Stata Center at Vassar St / Main St,2h,2,1,599,212.5,0.356287425,1,0.75,0.267215569
B32000,Newbury St at Hereford St,2h,2,0.989304813,755,269.25,0.449700599,0.84,0.683235294,0.25809111
C32036,Seaport Blvd at Sleeper St,2h,2,0.983957219,810,252,0.482634731,0.76,0.703529412,0.258056273
M32006,MIT at Mass Ave / Amherst St,4h,2,0.946808511,1388,329.5,0.828742515,0.72972973,0.612352941,0.370325372
B32062,Forsyth St at Huntington Ave,4h,2,0.973404255,1037,287,0.618562874,0.864864865,0.662352941,0.354341136
M32011,Central Square at Mass Ave / Essex St,4h,2,0.930851064,1199,218.25,0.715568862,0.648648649,0.743235294,0.344974725
A32002,Commonwealth Ave at Agganis Way,4h,2,0.930851064,1558,409,0.930538922,0.648648649,0.518823529,0.313158154
B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,4h,2,0.957446809,1013,299.5,0.604191617,0.783783784,0.647647059,0.306696886
B32015,Landmark Center - Brookline Ave at Park Dr,4h,2,0.95212766,925,279,0.551497006,0.756756757,0.671764706,0.280360386
M32037,Ames St at Main St,4h,2,0.95212766,848,243.5,0.505389222,0.756756757,0.713529412,0.27289411
M32042,MIT Vassar St,4h,2,0.978723404,838,335.75,0.499401198,0.891891892,0.605,0.269474187
C32036,Seaport Blvd at Sleeper St,4h,2,0.95212766,810,252,0.482634731,0.756756757,0.703529412,0.256955037
M32005,MIT Stata Center at Vassar St / Main St,4h,2,0.984042553,599,212.5,0.356287425,0.918918919,0.75,0.245549442
