station_1,station_2,station_3,between_ratio,perimeter,delta,tau,cutoff,perimeter_norm,trips_between_norm,combined_between_ratio_distance,station1_name,station2_name,station3_name
A32004,C32034,D32010,0.009191176470588236,11.652739597413085,1h,2,0,0.7154483678406075,0.9039197336185638,0.6467078980763182,Longwood Ave at Binney St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,Cross St at Hanover St
A32004,C32034,A32046,0.014492753623188406,11.951106801508079,1h,2,0,0.7345861876045912,0.8461461854003112,0.6215673004893821,Longwood Ave at Binney St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,Canal St at Causeway St
C32034,A32004,M32061,0.0009578544061302681,12.183528769856641,2h,0,0,0.7494941589848134,0.9936417570081646,0.7447286930010266,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,Longwood Ave at Binney St,Mass Ave at Albany St
A32004,M32061,B32007,0.0028873917228103944,12.394512950303625,2h,0,0,0.7630270713258113,0.9726147656062828,0.7421313961288023,Longwood Ave at Binney St,Mass Ave at Albany St,Seaport Square - Seaport Blvd at Northern Ave
A32004,M32005,B32007,0.004077471967380225,12.228020604575057,2h,0,0,0.7523479468747817,0.9596459534180977,0.7219876627807982,Longwood Ave at Binney St,MIT Stata Center at Vassar St / Main St,Seaport Square - Seaport Blvd at Northern Ave
C32034,A32004,M32005,0.0030425963488843813,12.017967638265187,2h,0,0,0.7388747643166593,0.9709234345758961,0.7173908238917867,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,Longwood Ave at Binney St,MIT Stata Center at Vassar St / Main St
M32037,A32004,B32007,0.006331976481230212,12.159418874499629,2h,0,0,0.7479477060719655,0.9350776558172038,0.6993891876676285,Ames St at Main St,Longwood Ave at Binney St,Seaport Square - Seaport Blvd at Northern Ave
A32004,M32005,C32107,0.004046535154274153,12.186905563989457,2h,1,0,0.7497107527545273,0.9599830850701054,0.7197096413395221,Longwood Ave at Binney St,MIT Stata Center at Vassar St / Main St,Pier 4 Blvd at Autumn Ln
A32004,M32005,C32034,0.0030425963488843813,12.017967638265189,2h,1,0,0.7388747643166594,0.9709234345758961,0.7173908238917868,Longwood Ave at Binney St,MIT Stata Center at Vassar St / Main St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd
M32037,A32004,C32034,0.005402971634398919,11.950046367626104,2h,1,0,0.7345181694302532,0.9452014180050415,0.6942676152959426,Ames St at Main St,Longwood Ave at Binney St,Watermark Seaport - Boston Wharf Rd at Seaport Blvd
