start_station_id,station_name,delta,tau,downtime_fraction,num_starts,quantile_difference,starts_norm,downtime_norm,quantile_norm,norm_score
M32037,Ames St at Main St,30min,0,0.84996651,848,183,0.505389222,0.579847909,0.806277056,0.236278591
A32010,South Station - 700 Atlantic Ave,30min,0,0.813797723,1103,294.75,0.658083832,0.477186312,0.685335498,0.215214945
M32006,MIT at Mass Ave / Amherst St,30min,0,0.770931011,1388,320.5,0.828742515,0.355513308,0.657467532,0.193708997
C32036,Seaport Blvd at Sleeper St,30min,0,0.851306095,810,312,0.482634731,0.58365019,0.666666667,0.187793235
M32005,MIT Stata Center at Vassar St / Main St,30min,0,0.882786336,599,236.5,0.356287425,0.673003802,0.748376623,0.179447836
B32016,Beacon St at Massachusetts Ave,30min,0,0.829202947,878,359,0.523353293,0.520912548,0.615800866,0.167880431
D32006,Lewis Wharf at Atlantic Ave,30min,0,0.841929002,756,320,0.450299401,0.557034221,0.658008658,0.165049743
M32042,MIT Vassar St,30min,0,0.848626926,838,413,0.499401198,0.576045627,0.557359307,0.160339942
C32029,W Broadway at D St,30min,0,0.854655057,646,284,0.384431138,0.593155894,0.696969697,0.158928324
D32024,Beacon St at Charles St,30min,0,0.841929002,670,282.75,0.398802395,0.557034221,0.698322511,0.155129958
M32037,Ames St at Main St,1h,0,0.772423025,848,183,0.505389222,0.568475452,0.806277056,0.2316445
A32010,South Station - 700 Atlantic Ave,1h,0,0.686746988,1103,294.75,0.658083832,0.403100775,0.685335498,0.181801759
M32006,MIT at Mass Ave / Amherst St,1h,0,0.635876841,1388,320.5,0.828742515,0.304909561,0.657467532,0.166136468
M32005,MIT Stata Center at Vassar St / Main St,1h,0,0.799196787,599,236.5,0.356287425,0.620155039,0.748376623,0.165356391
C32036,Seaport Blvd at Sleeper St,1h,0,0.738955823,810,312,0.482634731,0.503875969,0.666666667,0.162125362
D32006,Lewis Wharf at Atlantic Ave,1h,0,0.737617135,756,320,0.450299401,0.50129199,0.658008658,0.14853327
B32016,Beacon St at Massachusetts Ave,1h,0,0.709504685,878,359,0.523353293,0.447028424,0.615800866,0.144068951
A32004,Longwood Ave at Binney St,1h,0,0.680053548,824,235,0.491017964,0.390180879,0.75,0.143689365
D32024,Beacon St at Charles St,1h,0,0.738955823,670,282.75,0.398802395,0.503875969,0.698322511,0.140325774
C32034,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,1h,0,0.799196787,549,288,0.326347305,0.620155039,0.692640693,0.140180728
M32037,Ames St at Main St,2h,0,0.676470588,848,183,0.505389222,0.524,0.806277056,0.213521477
A32010,South Station - 700 Atlantic Ave,2h,0,0.548128342,1103,294.75,0.658083832,0.332,0.685335498,0.149734726
M32005,MIT Stata Center at Vassar St / Main St,2h,0,0.679144385,599,236.5,0.356287425,0.528,0.748376623,0.140784431
C32036,Seaport Blvd at Sleeper St,2h,0,0.596256684,810,312,0.482634731,0.404,0.666666667,0.129989621
M32006,MIT at Mass Ave / Amherst St,2h,0,0.483957219,1388,320.5,0.828742515,0.236,0.657467532,0.128589626
D32006,Lewis Wharf at Atlantic Ave,2h,0,0.601604278,756,320,0.450299401,0.412,0.658008658,0.122075973
C32034,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,2h,0,0.684491979,549,288,0.326347305,0.536,0.692640693,0.121158203
B32016,Beacon St at Massachusetts Ave,2h,0,0.569518717,878,359,0.523353293,0.364,0.615800866,0.117310434
A32004,Longwood Ave at Binney St,2h,0,0.534759358,824,235,0.491017964,0.312,0.75,0.114898204
B32007,Seaport Square - Seaport Blvd at Northern Ave,2h,0,0.644385027,539,234.25,0.320359281,0.476,0.750811688,0.114492039
M32037,Ames St at Main St,4h,0,0.553191489,848,183,0.505389222,0.422535211,0.806277056,0.172176226
M32005,MIT Stata Center at Vassar St / Main St,4h,0,0.553191489,599,236.5,0.356287425,0.422535211,0.748376623,0.112663597
C32034,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,4h,0,0.542553191,549,288,0.326347305,0.408450704,0.692640693,0.092326779
C32057,Harrison Ave at Mullins Way,4h,0,0.611702128,462,333.75,0.274251497,0.5,0.643127706,0.088189368
C32020,ID Building East,4h,0,0.675531915,334,244.25,0.19760479,0.584507042,0.739989177,0.08546978
